	Heere bigynneth the Knyghtes Tale.	Here begins the Knight's Tale.
	Iamque domos patrias, Sithice post	And now (Theseus drawing nigh his) native land in
	aspera gentis prelia,laurigero, etc.	laurelled car after battling with the Scithian folk, etc.
1261	We faren as he that dronke is as a mous.		We act like one who is drunk as a mouse.
1262	A dronke man woot wel he hath an hous,		A drunk man knows well he has a house,
1263	But he noot which the righte wey is thider,		But he does not know which is the right way to it,
1264	And to a dronke man the wey is slider.		And to a drunk man the way is slippery.
1265	And certes, in this world so faren we;		And certainly, so we fare in this world;
1266	We seken faste after felicitee,		We seek eagerly after felicity,
1267	But we goon wrong ful often, trewely.		But we go wrong very often, truly.
1268	Thus may we seyen alle, and namely I,		Thus can we all say, and especially I,
1269	That wende and hadde a greet opinioun		Who supposed and had a firm belief
1270	That if I myghte escapen from prisoun,		That if I might escape from prison,
1271	Thanne hadde I been in joye and parfit heele,		Then I would have been in joy and perfect well-being,
1272	Ther now I am exiled fro my wele.		Whereas now I am exiled from my source of happiness.
1273	Syn that I may nat seen you, Emelye,		Since I can not see you, Emelye,
1274	I nam but deed; ther nys no remedye."		I am as good as dead; there is not any remedy."
1275	Upon that oother syde Palamon,		Upon that other side Palamon,
1276	Whan that he wiste Arcite was agon,		When he knew Arcite was gone,
1277	Swich sorwe he maketh that the grete tour		He makes such sorrow that the great tour
1278	Resouneth of his youlyng and clamour.		Resounds with his yowling and clamor.
1279	The pure fettres on his shynes grete		The great fetters themselves on his shins
1280	Weren of his bittre, salte teeres wete.		Were wet from his bitter, salt tears.
1281	"Allas," quod he, "Arcita, cosyn myn,		"Alas," said he, "Arcite, cousin mine,
1282	Of al oure strif, God woot, the fruyt is thyn.		Of all our strife, God knows, the profit is thine.
1283	Thow walkest now in Thebes at thy large,		Thou walkest freely now in Thebes,
1284	And of my wo thow yevest litel charge.		And thou care little about my woe.
1285	Thou mayst, syn thou hast wisdom and manhede,		Thou mayest, since thou hast wisdom and manhood,
1286	Assemblen alle the folk of oure kynrede,		Assemble all the folk of our family,
1287	And make a werre so sharp on this citee		And make a war so sharp on this city
1288	That by som aventure or some tretee		That by some chance or some treaty
1289	Thow mayst have hire to lady and to wyf		Thou mayest have her as lady and as wife
1290	For whom that I moste nedes lese my lyf.		For whom I must of necessity lose my life.
1291	For, as by wey of possibilitee,		For, as by way of possibility,
1292	Sith thou art at thy large, of prisoun free,		Since thou art at thy liberty, free of prison,
1293	And art a lord, greet is thyn avauntage		And art a lord, thy advantage is great,
1294	Moore than is myn, that sterve here in a cage.		More than is mine, who die here in a cage.
1295	For I moot wepe and wayle, whil I lyve,		For I must weep and wail, while I live,
1296	With al the wo that prison may me yive,		With all the woe that prison may give me,
1297	And eek with peyne that love me yeveth also,		And also with pain that love gives me also,
1298	That doubleth al my torment and my wo."		That doubles all my torment and my woe."
1299	Therwith the fyr of jalousie up sterte		With that the fire of jealousy started up
1300	Withinne his brest, and hente him by the herte		Within his breast, and seized him by the heart
1301	So woodly that he lyk was to biholde		So madly that he was to look upon like
1302	The boxtree or the asshen dede and colde.		The box tree or the ash dead and cold.
1303	Thanne seyde he, "O crueel goddes that governe		Then said he, "O cruel gods that govern
1304	This world with byndyng of youre word eterne,		This world with binding of your eternal word,
1305	And writen in the table of atthamaunt		And write in the table of adamant (hardest of stones)
1306	Youre parlement and youre eterne graunt,		Your decision and your eternal decree,
1307	What is mankynde moore unto you holde		Why is mankind more obligated unto you
1308	Than is the sheep that rouketh in the folde?		Than is the sheep that cowers in the sheepfold?
1309	For slayn is man right as another beest,		For man is slain exactly like another beast,
1310	And dwelleth eek in prison and arreest,		And dwells also in prison and detention,
1311	And hath siknesse and greet adversitee,		And has sickness and great adversity,
1312	And ofte tymes giltelees, pardee.		And often times guiltless, indeed.
1313	"What governance is in this prescience,		"What (sort of) governance is in this foreknowledge,
1314	That giltelees tormenteth innocence?		That torments guiltless innocence?
1315	And yet encresseth this al my penaunce,		And yet this increases all my suffering,
1316	That man is bounden to his observaunce,		That man is bound to his duty,
1317	For Goddes sake, to letten of his wille,		For God's sake, to refrain from his desire,
1318	Ther as a beest may al his lust fulfille.		Whereas a beast may fulfill all his desire.
1319	And whan a beest is deed he hath no peyne;		And when a beast is dead he has no pain;
1320	But man after his deeth moot wepe and pleyne,		But man after his death must weep and lament,
1321	Though in this world he have care and wo.		Though in this world he may have (had) care and woe.
1322	Withouten doute it may stonden so.		Without doubt such is the case.
1323	The answere of this lete I to dyvynys,		The answer to this I leave to theologians,
1324	But wel I woot that in this world greet pyne ys.		But well I know that great pain is in this world.
1325	Allas, I se a serpent or a theef,		Alas, I see a serpent or a thief,
1326	That many a trewe man hath doon mescheef,		That has done mischief to many a true man,
1327	Goon at his large, and where hym list may turne.		Go at his liberty, and can go where he pleases.
1328	But I moot been in prisoun thurgh Saturne,		But I must be in prison because of Saturn,
1329	And eek thurgh Juno, jalous and eek wood,		And also because of Juno, jealous and also mad,
1330	That hath destroyed wel ny al the blood		Who has destroyed well nigh all the blood
1331	Of Thebes with his waste walles wyde;		Of Thebes with its wide devastated walls;
1332	And Venus sleeth me on that oother syde		And Venus slays me on that other side
1333	For jalousie and fere of hym Arcite."		For jealousy and fear of this Arcite."
1334	Now wol I stynte of Palamon a lite,		Now will I cease (speaking of) of Palamon for a little while,
1335	And lete hym in his prisoun stille dwelle,		And leave him to dwell in his prison still,
1336	And of Arcita forth I wol yow telle.		And of Arcite forth I will tell you.
1337	The somer passeth, and the nyghtes longe		The summer passes, and the long nights
1338	Encressen double wise the peynes stronge		Increase doubly the strong pains
1339	Bothe of the lovere and the prisoner.		Both of the lover and the prisoner.
1340	I noot which hath the wofuller mester.		I know not which has the more woeful task.
1341	For, shortly for to seyn, this Palamoun		For, briefly to say (it), this Palamon
1342	Perpetuelly is dampned to prisoun,		Is damned perpetually to prison,
1343	In cheynes and in fettres to been deed;		In chains and in fetters to be dead;
1344	And Arcite is exiled upon his heed		And Arcite is exiled on threat of losing his head
134e	For everemo, as out of that contree,		For evermore, out of that country,
1346	Ne nevere mo ne shal his lady see.		Nor nevermore shall see his lady.
1347	Yow loveres axe I now this questioun:		Yow lovers now I ask this question:
1348	Who hath the worse, Arcite or Palamoun?		Who has the worse, Arcite or Palamon?
1349	That oon may seen his lady day by day,		That one may see his lady every day,
1350	But in prison he moot dwelle alway;		But in prison he must always dwell;
1351	That oother wher hym list may ride or go,		That other where he pleases may ride or walk,
1352	But seen his lady shal he nevere mo.		But he shall see his lady nevermore.
1353	Now demeth as yow liste, ye that kan,		Now judge as it pleases you, you who know (of such things),
1354	For I wol telle forth as I bigan.		For I will tell forth as I began.
	Explicit prima pars	The first part ends
	Sequitur pars secunda	The second part follows
1355	Whan that Arcite to Thebes comen was,		When Arcite was come to Thebes,
1356	Ful ofte a day he swelte and seyde "Allas!"		Very often each day he grew faint and said "Alas!"
1357	For seen his lady shal he nevere mo.		For he shall never more see his lady.
1358	And shortly to concluden al his wo,		And shortly to conclude (telling) all his woe,
1359	So muche sorwe hadde nevere creature		So much sorrow never had creature
1360	That is, or shal, whil that the world may dure.		That is, or shall (be), while the world may endure.
1361	His slep, his mete, his drynke, is hym biraft,		He is bereft of his sleep, his food, his drink
1362	That lene he wex and drye as is a shaft;		So that he became lean and dry as is a stick;
1363	His eyen holwe and grisly to biholde,		His eyes sunken and grisly to behold,
1364	His hewe falow and pale as asshen colde,		His hue sickly yellow and pale as cold ashes,
1365	And solitarie he was and evere allone,		And he was solitary and ever alone,
1366	And waillynge al the nyght, makynge his mone;		And wailing all the night, making his moan;
1367	And if he herde song or instrument,		And if he heard song or instrument,
1368	Thanne wolde he wepe, he myghte nat be stent.		Then would he weep, he could not be stopped.
1369	So feble eek were his spiritz, and so lowe,		So feeble also were his spirits, and so low,
1370	And chaunged so, that no man koude knowe		And changed so, that no man could know
1371	His speche nor his voys, though men it herde.		His speech nor his voice, though men heard it.
1372	And in his geere for al the world he ferde		And in his behavior for all the world he fared
1373	Nat oonly lik the loveris maladye		Not only like the lover's malady
1374	Of Hereos, but rather lyk manye,		Of Hereos, but rather like mania,
